object_id,image_id,word,label,score,matched_phrase,replacement,rewritten
3069,440514,handbag,1,0.08634860709309577,handbags,items,1
5202,163372,bird,1,0.08632468327879905,birds,items,1
15160,404988,person,1,0.0863221389055252,people,someone,1
1216,174123,broccoli,1,0.08619151160120964,broccoli,an item,1
14064,249884,broccoli,1,0.08613457426428794,broccoli,an item,1
7676,500657,sports ball,1,0.08608556061983108,ball,an item,1
4280,22660,person,0,0.08594614163041114,passengers,someone,1
12225,565597,knife,1,0.08593488752841949,knife,an item,1
7993,541054,sports ball,1,0.08575695276260376,ball,item,1
12365,6213,toothbrush,1,0.08569637209177017,toothbrush,An item,1
9034,112240,person,1,0.085589951723814,people,someone,1
6837,383703,refrigerator,1,0.08549313515424728,refrigerator,an appliance,1
13680,192192,handbag,1,0.08546510234475135,handbag,an item,1
354,48281,dining table,1,0.08544698998332023,table,a surface,1
2379,339344,person,0,0.08537338942289352,people,someone,1
6236,310185,sports ball,1,0.08531784534454345,ball,an item,1
15325,427376,stop sign,1,0.08517951786518096,stop sign,An item,1
11289,435922,tv,1,0.08511610597372055,tv,Device,1
10927,387098,dining table,0,0.08511378355324267,desk,surface,1
12923,84123,person,1,0.08508685871958732,people,someone,1
9411,169757,sink,1,0.08481813862919807,sink,an item,1
2338,333772,dining table,1,0.08480399742722511,desk,surface,1
11874,520012,person,1,0.08476127579808235,person,someone,1
12066,545756,sports ball,0,0.08457397937774658,ball,an item,1
12001,537081,person,1,0.08437408402562141,person,someone,1
12375,7570,dining table,0,0.08421629562973976,desk,surface,1
14404,302292,couch,1,0.08417886391282081,couch,an item,1
2266,321811,bottle,1,0.08398209407925605,bottles,items,1
11181,422725,sports ball,1,0.08391940116882324,ball,an item,1
5108,150779,car,1,0.08378703415393829,cars,vehicles,1
4783,102517,chair,1,0.08371392935514449,chair,an item,1
430,57238,sink,1,0.08363066136837005,sink,an item,1
10626,347254,orange,0,0.08361704170703887,orange,an item,1
5429,195815,dining table,0,0.08341758996248244,dining table,a surface,1
11718,496718,clock,1,0.08331221982836723,clock,An item,1
976,138553,sports ball,1,0.08326052397489547,sports ball,an item,1
7358,457217,chair,1,0.08304897591471672,chairs,items,1
12656,43288,person,1,0.08298602223396301,person,someone,1
15005,381332,dining table,1,0.08295857056975364,dining table,a surface,1
2605,369082,potted plant,1,0.08282517567276954,potted plant,A decorative item,1
2464,354369,laptop,1,0.08277401223778724,notebook,a device,1
7067,413124,sports ball,1,0.08269670873880386,ball,an item,1
13927,230148,dining table,1,0.0826416340470314,dining table,a surface,1
5439,196885,sports ball,1,0.08263928338885307,ball,an item,1
9679,211186,clock,1,0.0826246839761734,clock,an item,1
7987,540642,bowl,1,0.082589543312788,bowl,an item,1
1523,219269,dining table,0,0.08247332014143466,desk,a surface,1
2186,310862,chair,1,0.08228405088186264,chairs,items,1
8271,579231,sports ball,1,0.08224436908960342,ball,an item,1
10690,356424,potted plant,1,0.0821497318148613,potted plant,a decorative item,1
12663,43838,clock,1,0.08203894540667533,clock,an item,1
15864,502557,dining table,1,0.08191968023777008,dining table,a surface,1
15237,413278,cup,1,0.08187168732285499,cup,An item,1
10065,269121,sports ball,0,0.08149379760026931,ball,an item,1
4650,79905,microwave,1,0.08138099581003189,microwave,an appliance,1
2015,286553,wine glass,1,0.08136936545372009,wine glasses,items,1
13599,180878,knife,1,0.08127334609627723,knife,An item,1
10446,323327,train,1,0.08126975119113922,train,item,1
8519,30356,bottle,1,0.08124268695712089,bottles,items,1
1068,153055,wine glass,1,0.0811721895635128,wine glass,an item,1
9683,213421,bench,1,0.08111582592129707,bench,an item,1
4133,2225,cup,1,0.08103297546505928,cup,an item,1
3585,509807,pizza,1,0.08095780655741691,pizza,item,1
2610,369601,dining table,1,0.0808699306845665,table,a surface,1
2559,364580,clock,1,0.08071645617485046,clock,an item,1
14282,281950,sink,1,0.08068019792437553,sink,an item,1
7515,474344,baseball glove,1,0.08046112850308418,baseball glove,some equipment,1
14453,306908,car,1,0.08036094427108764,cars,vehicles,1
15380,435795,person,0,0.08011507138609886,passengers,someone,1
12199,560890,bicycle,1,0.08008867770433425,bicycles,vehicles,1
13706,196430,baseball glove,1,0.07979095250368118,baseball glove,some equipment,1
7113,421875,bowl,0,0.0797545750439167,bowl,an item,1
9795,227736,boat,1,0.07964377000927925,boats,items,1
14922,370697,bottle,1,0.07964240282773971,bottle,An item,1
6997,404652,bowl,1,0.07954963192343711,bowls,items,1
14467,307573,clock,1,0.07949837565422058,clock,an item,1
10180,288933,knife,1,0.07931339636445045,knife,an item,1
11234,428712,broccoli,1,0.07926429703831672,broccoli,an item,1
12392,9379,motorcycle,1,0.07922950655221939,motorcycle,an item,1
7320,450313,backpack,1,0.0792166282236576,backpacks,items,1
7219,436865,bird,1,0.07905624702572822,birds,items,1
10525,334416,clock,1,0.07893748104572296,clock,An item,1
698,99567,car,1,0.07888727530837059,car,a vehicle,1
13655,189698,person,1,0.07887822315096854,people,someone,1
1257,180925,boat,1,0.0788659144937992,boat,an item,1
14070,251019,sports ball,1,0.07884989574551582,ball,item,1
13889,223959,sports ball,1,0.07877328142523765,ball,an item,1
1265,182175,bottle,1,0.0787304539233446,bottle,an item,1
6854,384661,sink,1,0.07864536613225936,sink,an item,1
7604,490620,broccoli,1,0.07859021693468093,broccoli,an item,1
676,96832,dining table,0,0.07857347391545771,desk,a surface,1
7131,424866,person,1,0.07839434146881102,people,someone,1
15527,455624,bench,1,0.07831654965877533,bench,an item,1
9477,180479,sink,1,0.07826893299818038,sink,an item,1
6321,320658,dining table,0,0.07809228718280792,desk,a surface,1
1050,151387,dining table,0,0.0780843485891819,table,a surface,1
15710,481710,bowl,1,0.07807678624987602,bowl,an item,1
11615,478407,chair,1,0.0780388180911541,chairs,some items,1
8483,26378,dining table,1,0.07793841034173965,table,a surface,1
2282,325587,dining table,1,0.07789001509547233,dining table,A surface,1
3725,531697,dining table,0,0.07777522616088389,desk,a surface,1
10799,369243,bird,1,0.07775974914431572,bird,an item,1
10733,360600,dining table,1,0.07775357633829116,dining table,a surface,1
14021,242911,spoon,1,0.07769838616251945,spoon,an item,1
10484,329041,tie,1,0.07752134174108505,tie,An item,1
2158,307614,clock,1,0.07751995965838432,clock,an item,1
3249,461655,dining table,0,0.07750833302736282,dining table,a surface,1
15234,412978,vase,1,0.07746903121471405,vase,an item,1
9925,245447,bowl,1,0.07735135674476623,bowl,an item,1
4490,52596,handbag,1,0.07733114704489708,handbags,some items,1
15786,491062,spoon,1,0.07731483772397041,spoon,an item,1
7641,494629,book,1,0.0773007971048355,book,an item,1
1201,171310,dining table,0,0.07719572156667709,table,a surface,1
11594,475906,potted plant,1,0.07706921815872192,potted plant,A decorative item,1
16124,540172,person,0,0.07705754682421684,people,someone,1
7252,441995,dining table,0,0.07687308937311171,dining table,a surface,1
2176,310035,potted plant,1,0.07682395622134208,potted plants,decorative items,1
15065,389108,banana,1,0.07666009932756424,bananas,some items,1
15020,382758,book,1,0.0766211923956871,books,items,1
9263,146910,bench,1,0.07660055801272392,bench,an item,1
13233,127129,bowl,1,0.07657321438193321,bowl,An item,1
3837,543696,spoon,1,0.07655563101172447,spoon,an item,1
4273,22158,bowl,1,0.0765366618335247,bowl,An item,1
7856,527578,oven,1,0.07650260895490646,oven,an appliance,1
14239,274418,bottle,1,0.076331327855587,bottles,items,1
15945,514504,dining table,0,0.07627804845571518,desk,surface,1
10900,384503,car,0,0.07622386783361434,car,vehicle,1
9075,116517,chair,1,0.07606952905654907,chair,An item,1
11471,460646,bench,1,0.07603238075971602,bench,an item,1
216,31043,book,1,0.07588038116693496,book,an item,1
15233,412978,bottle,1,0.07583837106823921,bottle,An item,1
5602,222299,backpack,1,0.07568431913852691,backpack,An item,1
15563,460347,traffic light,1,0.07550796389579773,traffic lights,items,1
12524,25896,handbag,1,0.07542697980999946,handbag,an item,1
5642,226805,dining table,1,0.07522887662053107,dining table,a surface,1
1898,270354,car,1,0.07517705008387565,car,a vehicle,1
12774,58758,couch,1,0.07508252456784248,couch,an item,1
13387,149550,bottle,1,0.07475811511278152,bottle,An item,1
6940,397008,sports ball,0,0.07468633994460105,ball,an item,1
8388,12153,bottle,1,0.0746813704073429,bottles,some items,1
5675,230008,handbag,1,0.07465568825602531,handbag,an item,1
5653,229020,dining table,0,0.07463969931006431,desk,a surface,1
13411,152751,dining table,0,0.07450038462877273,desk,surface,1
11470,460646,person,0,0.07447552233934401,passengers,someone,1
10866,379402,wine glass,1,0.07445321127772331,wine glasses,some items,1
4117,872,sports ball,0,0.0743975293636322,ball,an item,1
2060,292232,bed,1,0.07431374013423919,bed,an item,1
14234,273711,knife,1,0.07429957658052444,knife,An item,1
4477,51028,dining table,1,0.07424404367804527,table,a surface,1
6678,362368,chair,1,0.07409068465232849,chair,an item,1
14827,358658,dining table,1,0.07405100315809249,dining table,a surface,1
13451,156572,keyboard,1,0.07401757955551147,keyboard,an item,1
6826,382696,bottle,1,0.07395928993821144,bottle,an item,1
9789,227440,cell phone,1,0.07389627665281295,cell phone,a device,1
212,31043,potted plant,1,0.0738450725376606,potted plant,a decorative item,1
14574,322226,bird,1,0.07368846133351326,birds,some items,1
3546,504902,person,1,0.07364974066615104,person,Someone,1
1009,143333,sports ball,1,0.07360335707664489,ball,an item,1
3872,547258,book,1,0.07353900268673896,books,items,1
15396,436273,cup,0,0.07350157469511032,cup,an item,1
6779,376264,teddy bear,1,0.07346817374229431,teddy bear,An item,1
5431,195815,vase,1,0.07345664426684378,vase,an item,1
5922,266768,orange,1,0.07334350317716598,orange,item,1
15928,510992,spoon,1,0.073334242105484,spoon,an item,1
10314,306444,bottle,1,0.073321173787117,bottle,an item,1
14795,354584,sports ball,0,0.07328326150774955,ball,an item,1
12336,1436,book,1,0.07326830074191093,book,an item,1
5135,154254,book,1,0.07323922857642173,books,items,1
7539,478731,chair,1,0.07321165427565574,chair,an item,1
1435,207400,bottle,1,0.07316287875175476,bottle,an item,1
9804,227851,book,1,0.07315584570169448,book,an item,1
10589,342025,bottle,1,0.07292852073907852,bottles,items,1
401,54133,microwave,1,0.0728493694961071,microwave,an appliance,1
8649,48905,bowl,1,0.07271136611700058,bowl,an item,1
14344,293425,dining table,0,0.0727067433297634,table,a surface,1
5980,275117,cell phone,1,0.07264100283384323,cell phone,a device,1
207,30895,tv,1,0.07252075046300888,television,a device,1
3731,531697,potted plant,1,0.07238001272082328,potted plant,a decorative item,1
2720,386525,person,1,0.07236832305788993,person,someone,1
11353,442875,clock,1,0.07227289572358131,clock,An item,1
6689,364743,car,1,0.0719999697804451,cars,vehicles,1
14908,369310,bottle,1,0.07192112244665622,bottles,some items,1
2696,383026,person,1,0.07187927410006523,people,someone,1
15540,458073,dining table,0,0.07185389772057532,desk,a surface,1
13525,168061,vase,1,0.07184969902038574,vase,an item,1
1869,265777,knife,1,0.07184935629367828,knife,an item,1
13069,106073,book,1,0.07153843238949775,book,an item,1
14577,322848,sports ball,1,0.07153149217367172,ball,an item,1
4770,99794,sports ball,0,0.07133612304925918,ball,an item,1
15236,413278,dining table,0,0.07130251348018646,table,surface,1
12014,540117,person,1,0.0711921241134405,people,someone,1
9399,168031,bowl,1,0.07116770640015602,bowl,an item,1
13032,101013,bicycle,1,0.07105054602026939,bicycle,a vehicle,1
2598,369082,sink,1,0.07085426419973373,sink,an item,1
3602,513181,bird,1,0.07082345977425575,birds,items,1
3915,551167,sports ball,0,0.07078150182962417,ball,an item,1
8554,35498,laptop,0,0.07075025036931037,computer,a device,1
9254,145651,chair,1,0.07063569769263267,chair,An item,1
6539,346185,couch,1,0.07058666914701461,couch,an item,1
12316,580829,person,1,0.07055965334177017,drivers,someone,1
12488,21503,tv,1,0.07045347139239311,tv,a device,1
15092,394259,dining table,0,0.07028582587838172,dining table,a surface,1
1527,219269,cell phone,1,0.07025768876075744,cell phone,A device,1
1075,154213,dining table,0,0.07023208484053611,table,surface,1
9623,204256,clock,1,0.0702171091735363,clock,An item,1
16394,577096,person,1,0.07003459975123405,person,someone,1
4056,570643,chair,1,0.06998524338006973,chair,an item,1
15357,431481,bowl,1,0.06981823861598968,bowl,an item,1
11530,468778,chair,1,0.06980491697788238,chair,An item,1
358,48281,tv,1,0.06965609163045883,television,a device,1
9283,150843,chair,1,0.06955366849899292,chair,an item,1
7808,523174,book,1,0.0693640661239624,books,items,1
1635,235597,dining table,0,0.06933464035391806,desks,some surfaces,1
8305,4011,cake,0,0.06920001178979873,cake,an item,1
13671,190841,car,1,0.06919706910848616,car,A vehicle,1
14601,326082,book,1,0.06911051169037818,book,an item,1
14189,267224,person,0,0.06907277107238768,person,Someone,1
11140,417373,dining table,0,0.06904409192502498,desk,surface,1
1254,180925,person,1,0.06894646853208541,person,someone,1
10869,380516,sports ball,1,0.06890930131077766,ball,item,1
4362,33489,car,1,0.06883059710264205,car,A vehicle,1
14805,356432,laptop,1,0.06871287792921066,laptop,a device,1
6923,394133,clock,1,0.06844073832035064,clock,an item,1
9834,232612,knife,1,0.06827058166265487,knife,an item,1
13214,124759,person,1,0.0682608251273632,people,someone,1
6838,383703,oven,1,0.0682509046792984,oven,an appliance,1
6998,404652,spoon,1,0.06819109886884689,spoon,An item,1
5000,135116,person,0,0.06812083274126052,people,someone,1
215,31043,clock,1,0.0681164813041687,clock,An item,1
14962,375691,bottle,1,0.06809160754084587,bottle,an item,1
15066,389108,apple,1,0.06808490574359893,apples,some items,1
9519,186412,bowl,1,0.0680040781199932,bowl,an item,1
1833,262093,book,1,0.0679547956213355,books,items,1
11632,483469,car,1,0.06794731587171554,cars,vehicles,1
14009,241747,bench,1,0.06792389124631881,bench,An item,1
11194,424155,handbag,1,0.06788665324449539,handbags,items,1
13677,192192,traffic light,1,0.06786872342228889,streetlights,some items,1
3714,530836,bottle,0,0.06780934229493141,bottles,items,1
2700,383611,handbag,1,0.0677459006011486,handbags,items,1
5512,209527,book,1,0.06760216772556304,book,an item,1
14848,360880,vase,1,0.0673927992582321,vase,an item,1
7531,477118,car,1,0.0673414197564125,taxi,A vehicle,1
6851,384661,cup,1,0.06716232642531395,cup,an item,1
1522,219075,chair,1,0.06696388766169548,chair,an item,1
7303,449424,dining table,0,0.06690563187003135,desk,a surface,1
3890,549763,bowl,1,0.06683977216482162,bowl,an item,1
12885,79121,remote,1,0.06681267067790031,remote,a device,1
10188,289659,cow,1,0.06678211584687233,cow,an item,1
5886,262162,bottle,1,0.06676725596189498,bottle,An item,1
6229,309104,chair,1,0.06670458510518074,chair,an item,1
4832,108645,book,1,0.06661806151270866,books,some items,1
16107,537145,book,1,0.06644714519381523,book,an item,1
5164,157601,chair,1,0.06640537723898887,chair,an item,1
4222,16025,book,1,0.06633872807025909,book,an item,1
3057,437947,spoon,1,0.0662222121655941,spoon,an item,1
